x1: essential=x17,x3,x19; non_essential=-
x2: essential=x20,x3,x18; non_essential=-
x3: essential=x24,x13,x19; non_essential=-
x4: essential=x19,x13,x5; non_essential=-
x5: essential=x10,x13,x6; non_essential=-
x6: essential=x11,x21,x16; non_essential=-
x7: essential=x6,x11,x3; non_essential=-
x8: essential=x2,x25,x21; non_essential=-
x9: essential=x19,x4,x18; non_essential=-
x10: essential=x12,x25,x23; non_essential=-
x11: essential=x9,x5,x18; non_essential=-
x12: essential=x4,x14,x1; non_essential=-
x13: essential=x19,x22,x9; non_essential=-
x14: essential=x8,x9,x22; non_essential=-
x15: essential=x12,x19,x5; non_essential=-
x16: essential=x11,x8,x6; non_essential=-
x17: essential=x11,x4,x22; non_essential=-
x18: essential=x3,x8,x16; non_essential=-
x19: essential=x10,x20,x22; non_essential=-
x20: essential=x6,x7,x17; non_essential=-
x21: essential=x20,x19,x5; non_essential=-
x22: essential=x16,x18,x24; non_essential=-
x23: essential=x14,x7,x18; non_essential=-
x24: essential=x13,x4,x1; non_essential=-
x25: essential=x10,x16,x24; non_essential=-
